rank,keyword,id
1,사진,01100101.20181216171232001
1,사진,01100101.20181223205421001
1,사진,01100101.20181231100554001
1,사진,01100201.20181214203332001
1,사진,01100201.20181216104015001
1,사진,01100201.20181216104224001
1,사진,01100201.20181218200207002
1,사진,01100201.20181226193800001
1,사진,01100201.20181230175035001
1,사진,01100201.20181230230209001
2,병원,01100101.20181225211726002
2,병원,01100101.20181230210710001
2,병원,01100201.20181214111905001
2,병원,01100201.20181219123032001
2,병원,01100201.20181224184238001
2,병원,01100201.20181226110616001
2,병원,01100201.20181226193800001
2,병원,01100201.20181228102808001
2,병원,01100201.20181231104701001
3,방송,01100101.20181216195808001
3,방송,01100101.20181223200542001
3,방송,01100101.20181224205250001
3,방송,01100201.20181218193645001
3,방송,01100201.20181223103623001
3,방송,01100201.20181226084325001
3,방송,01100201.20181228000332001
3,방송,01100201.20181230175035001
4,라면,01100101.20181212204951001
4,라면,01100101.20181218154243001
4,라면,01100101.20181219205412001
4,라면,01100101.20181220090152001
4,라면,01100101.20181225211726002
4,라면,01100201.20181217093827001
5,그룹,01100101.20181228210012001
5,그룹,01100201.20181214111905001
5,그룹,01100201.20181224181607001
5,그룹,01100201.20181228140743001
5,그룹,01100201.20181231104701001
5,그룹,01100201.20181231202307001
6,치즈,01100101.20181212222841001
6,치즈,01100201.20181215040411001
6,치즈,01100201.20181215095859001
7,마켓,01100101.20181219221126001
7,마켓,01100201.20181212200602002
8,물건,01100101.20181223210234002
8,물건,01100201.20181211131419001
9,돼지고기,01100101.20181226210615003
9,돼지고기,01100201.20181231115346001
10,튜브,01100201.20181213143347001
10,튜브,01100201.20181230175035001
11,누가,01100201.20181215040411001
11,누가,01100201.20181215095859001
12,승차권,01100101.20181226113228001
12,승차권,01100201.20181227172824001
13,학원,01100101.20181225211522003
13,학원,01100201.20181228115106001
14,아동,01100201.20181231040147001
14,아동,01100201.20181231092417001
15,김치,01100101.20181211203922001
16,편지,01100101.20181212003150001
17,가구,01100101.20181212003150001
18,설렁탕,01100101.20181212204951001
19,베이커리,01100101.20181212205531002
20,비비,01100101.20181212205531002
21,막국수,01100101.20181212222511001
22,샐러드,01100101.20181212222841001
23,소스,01100101.20181212222841001
24,마트,01100101.20181213205524002
25,패딩,01100101.20181213205524002
26,가습기,01100101.20181214204702001
27,살균제,01100101.20181214204702001
28,한복,01100101.20181216171232001
29,기타,01100101.20181216195658001
30,식빵,01100101.20181217222513001
31,맥주,01100101.20181218203856001
32,장갑,01100101.20181218211710001
33,와인,01100101.20181219221126001
34,그릇,01100101.20181220135549001
35,냄비,01100101.20181220210252002
36,전당포,01100101.20181223200542001
37,회사,01100101.20181223203336001
38,창호,01100101.20181225211726002
39,승용차,01100101.20181225211726002
40,항공권,01100101.20181227060218001
41,문화재,01100101.20181228060423001
42,도넛,01100101.20181228205916001
43,주류,01100101.20181228210012001
44,쇼핑몰,01100201.20181211081253001
45,소금,01100201.20181212000440001
46,택시,01100201.20181212050142001
47,가방,01100201.20181212050142001
48,떡볶이,01100201.20181212155457001
49,바가지,01100201.20181214000323001
50,게시판,01100201.20181214001150001
51,의상,01100201.20181214060522001
52,오일,01100201.20181214203332001
53,우유,01100201.20181217160336001
54,단백질,01100201.20181217160336001
55,포털사이트,01100201.20181218132552001
56,수첩,01100201.20181221000250002
57,삼겹살,01100201.20181225084249001
58,양념,01100201.20181225084249001
59,과자,01100201.20181226000351001
60,매운탕,01100201.20181227082325001
61,비행기,01100201.20181227091111001
62,홈페이지,01100201.20181227172824001
63,당면,01100201.20181229040421002
64,깻잎,01100201.20181231115346001
65,비타민,01100201.20181231115346001
66,캘린더,01100201.20181231202307001
67,화분,01100301.20181210085124001
68,컨디션,01100301.20181210085124001
