rank,item,purchase,review
1,kf94,963092,59221
2,안마기,293140,82339
3,스타벅스텀블러,9562,2812
4,차량용무선충전거치대,52562,18778
5,빨래건조대,520384,160793
6,차량용핸드폰거치대,327938,93782
7,식기건조대,235074,70355
8,전자담배,248823,33287
9,아이스박스,2194055,76399
10,아이엠듀차량용충전기,4986,1497
11,아이엠듀cg9,1,1
12,텀블러,423352,75553
13,cctv,260680,34355
14,차량용방향제,927627,122464
15,차량용공기청정기,43446,15079
16,제습제,389654,105983
17,칼리번,521,122
18,방향제,1969455,253934
19,비데,382702,103443
20,코지마발마사지기,3006,657
21,주방세제,695316,192070
22,캣타워,40115,12181
23,체중계,476701,135135
24,치약,1211355,306153
25,안마의자,73053,26976
26,멀티탭,1838591,319671
27,통풍시트,236756,53334
28,빨래바구니,66938,15698
29,닥터독사료,0,0
30,가정용분리수거함,20593,4821
31,음식물쓰레기통,100787,26692
32,쿤달치약,75,44
33,옷걸이,2962327,282306
34,아이엠듀c-11,0,0
35,아이엠듀햇빛가리개,5,1
36,고양이정수기,2774,921
37,우리나라지도보기,1019,283
38,쓰레기통,487292,100658
39,아이엠듀차량용거치대,391,139
40,아이엠듀차량용무선충전기,1,0
41,아이엠듀차량용태블릿헤드레스트,38,13
42,원터치모기장,353349,82129
43,화분,1237186,249171
44,바헤르츠차량용무선충전기,0,0
45,강아지집,78959,21249
46,스탠리텀블러,596,174
47,예초기,259096,38274
48,바헤르츠듀얼차량용고속충전기,2,2
49,아스파이어avp,2721,399
50,수건,6445166,345564
51,수저세트,493055,54284
52,차량용휴대폰거치대,369646,108425
53,아이엠듀공기청정기,300,89
54,리빙박스,1782884,258762
55,분리수거함,247335,55425
56,드론,128715,23527
57,전자담배액상,182453,37956
58,재활용분리수거함,227220,51628
59,다우니,549337,174709
60,욕실선반,702817,159007
61,디지털피아노,66782,18729
62,차량무선충전거치대,52954,18896
63,아이엠듀차량용공기청정기,182,45
64,페브리즈화장실용,35640,6946
65,트렁크정리함,231775,57083
66,독서대,218701,45556
67,모기장,2849138,426194
68,금고,78530,17546
69,강아지계단,94087,11271
70,질레트면도날,74201,23001
71,손목보호대,287618,47612
72,그릇세트,142616,32469
73,usb멀티탭,408539,67006
74,고양이화장실,151319,25067
75,아이스쿨러,14183,3419
76,몬스터엑스팟,194,32
77,프라이팬,379741,132709
78,차량용햇빛가리개,171029,42833
79,다우니섬유유연제,514061,156113
80,차량방향제,745498,101254
81,도마,149150,52127
82,샤워기헤드,585704,146864
83,아이언맨피규어,1328,431
84,아이나비공기청정기,1237,277
85,강아지배변패드,318116,56447
86,시크룩차량용거치대,0,0
87,건담,55667,16007
88,차량용선풍기,64579,16946
89,무릎보호대,271171,59486
90,발마사지기,50953,14245
91,강아지패드,1011371,196876
92,냄비세트,129007,36509
93,수납정리함,2635823,369477
94,양념통,244198,20700
95,차량용초고속오아거치대,111,28
96,보드게임,282542,54575
97,실내공기정화식물,40319,12670
98,어항,390263,56994
99,필통,97225,14542
100,라탄바구니,29222,3947
