"rank","item","purchase25","review25"
1,"kf94",1209077,63406
2,"차량용무선충전거치대",49950,17818
3,"스타벅스텀블러",9993,2986
4,"안마기",305763,84083
5,"차량용핸드폰거치대",329331,96560
6,"전자담배",247629,32631
7,"아이스박스",2501980,84004
8,"식기건조대",235195,70670
9,"차량용방향제",930254,121948
10,"빨래건조대",539304,162189
11,"케인",11682,3920
12,"텀블러",403837,72105
13,"칼리번",507,114
14,"빨래바구니",67438,15852
15,"차량용공기청정기",43583,15258
16,"cctv",259686,34022
17,"브라운체온계",154048,27994
18,"아이엠듀cg9",1,1
19,"제습제",416516,114798
20,"아이엠듀차량용충전기",4984,1497
21,"체중계",529781,148053
22,"비데",385228,104028
23,"멀티탭",2395323,399825
24,"주방세제",708291,196397
25,"치약",1123503,289736
26,"음식물쓰레기통",112817,29435
27,"캣타워",40518,12345
28,"코지마발마사지기",3000,657
29,"안마의자",73337,27144
30,"원터치모기장",357314,83175
31,"닥터독사료",0,0
32,"옷걸이",2097913,267574
33,"방향제",2003840,260765
34,"통풍시트",269984,61206
35,"가정용분리수거함",21567,5145
36,"a4용지",2769799,474784
37,"차량용햇빛가리개",166885,42272
38,"스탠리텀블러",590,183
39,"리빙박스",2036107,262946
40,"모기장",2830143,420263
41,"고양이정수기",2737,910
42,"손목보호대",335972,52276
43,"아이엠듀공기청정기",300,89
44,"쿤달치약",75,43
45,"드론",128288,23180
46,"아스파이어avp",2696,392
47,"아이엠듀차량용태블릿헤드레스트",37,13
48,"쓰레기통",506280,102684
49,"아이엠듀차량용공기청정기",182,45
50,"전자담배액상",189305,38768
51,"종이컵",3309149,627479
52,"바헤르츠차량용무선충전기",0,0
53,"수저세트",417863,48522
54,"수건",6505513,349085
55,"아이엠듀차량용무선충전기",1,0
56,"예초기",259848,38503
57,"바헤르츠듀얼차량용고속충전기",2,2
58,"아이스쿨러",14668,3414
59,"디지털피아노",68817,19255
60,"분리수거함",248757,55923
61,"휴대폰거치대",438218,112129
62,"아이엠듀c-11",0,0
63,"아이엠듀햇빛가리개",5,1
64,"몬스터엑스팟",158,28
65,"차량무선충전거치대",53561,18926
66,"다우니",552841,175254
67,"차량용휴대폰거치대",363783,108027
68,"트렁크정리함",230841,59280
69,"강아지집",91933,26161
70,"차량용선풍기",67314,17400
71,"비치타올",122497,21987
72,"금고",80947,17962
73,"아이엠듀차량용거치대",388,139
74,"화분",1331797,270345
75,"물먹는하마",0,0
76,"와이퍼",1263092,305227
77,"재활용분리수거함",223915,50807
78,"머니건",58682,13360
79,"질레트면도날",92547,27652
80,"보드게임",279216,52668
81,"차량방향제",723841,98639
82,"그릇세트",129919,29693
83,"라탄바구니",29586,3408
84,"차량용냉장고",15731,4147
85,"강아지쿨매트",13464,5278
86,"포트메리온",4650,1172
87,"스터디플래너",5195,1047
88,"양념통",328920,20961
89,"욕실선반",695096,157845
90,"고양이화장실",152656,25547
91,"샤워기헤드",606069,154552
92,"무릎보호대",269712,59807
93,"프라이팬",375816,133005
94,"독서대",221809,46193
95,"우리나라지도보기",1017,283
96,"차량용목쿠션",146252,47611
97,"다우니섬유유연제",487078,151155
98,"두루마리휴지",489078,98355
99,"샤워기필터",146467,37679
100,"휴지통",484278,100073
